Suburb/Town Name,Offence Count
Doveton,1162
Dreeite,1
Dreeite South,1
Driffield,2
Dromana,502
Drouin,1079
Drouin East,7
Drouin South,15
Drouin West,6
Drumanure,2
Drumborg,8
Drumcondra,73
Drummond,8
Drummond North,8
Drung,14
Drysdale,222
Dumbalk,6
Dunach,10
Dundonnell,1
Dunkeld,25
Dunluce,1
Dunnstown,14
Dunolly,31
Dunrobin,1
Durdidwarrah,1
Durham Lead,5
Durham Ox,1
Dutson,6
Eagle Point,34
Eaglehawk,607
Eaglemont,142
East Bairnsdale,247
East Bendigo,169
East Geelong,284
East Melbourne,825
East Sale,1
East Wangaratta,2
East Warburton,12
Eastwood,67
Ebden,5
Echuca,1859
Echuca Village,20
Echuca West,8
Ecklin South,3
Eden Park,29
Edenhope,54
Edgecombe,3
Edi,1
Edithvale,249
Eganstown,5
Eildon,90
Elaine,13
Eldorado,4
Elevated Plains,1
Elingamite,1
Elingamite North,7
Ellaswood,1
Ellerslie,5
Elliminyt,77
Ellinbank,3
Elmhurst,10
Elmore,29
Elphinstone,33
Elsternwick,499
Eltham,813
Eltham North,120
Elwood,1073
Emerald,384
Emu,6
Emu Creek,2
Endeavour Hills,1108
Enfield,13
Ensay,5
Eppalock,14
Epping,3307
Epsom,276
Ercildoune,1
Erica,13
Eskdale,2
Essendon,1222
Essendon Fields,192
Essendon North,160
Essendon West,37
Eumemmerring,232
Eureka,71
Euroa,155
Evansford,24
Everton,11
Exford,8
Eynesbury,61
Fairfield,529
Fairhaven,17
Faraday,3
Fawcett,3
Fawkner,871
Fern Hill,2
Fernbank,20
Ferndale,3
Ferntree Gully,1549
Ferny Creek,62
Fingal,20
Fish Creek,14
Fish Point,2
Fiskville,1
Fitzroy,2793
Fitzroy North,1205
Flaggy Creek,5
Flagstaff,5
Flemington,1527
Flinders,26
Flora Hill,222
Flowerdale,23
Flynn,13
Flynns Creek,1
Footscray,2662
Forbes,2
Forest Hill,654
Forge Creek,9
Forrest,6
Foster,83
Foster North,5
Fosterville,9
Framlingham,4
Framlingham East,1
Franklinford,1
Frankston,8278
Frankston North,818
Frankston South,702
Fraser Rise,174
Freeburgh,4
Frenchmans,1
Freshwater Creek,10
Fryerstown,2
Fulham,47
Fumina,1
Fumina South,1
Fyans Creek,1
Fyansford,62
Gannawarra,3
Gapsted,3
Gardenvale,46
Garfield,75
Garvoc,12
Gateway Island,6
Geelong,3068
Geelong West,674
Gellibrand,19
Gellibrand Lower,2
Gelliondale,2
Gembrook,59
Genoa,2
Gentle Annie,2
Gerangamete,2
Germania,1
Gherang,1
Gheringhap,10
Ghin Ghin,2
Giffard,3
Giffard West,13
Gilderoy,8
Girgarre,23
Girgarre East,5
Gisborne,341
Gisborne South,36
Gladstone Park,556
Gladysdale,7
Glen Alvie,9
Glen Forbes,4
Glen Huntly,259
Glen Iris,773
Glen Park,15
Glen Valley,1
Glen Waverley,1584
Glen Wills,1
Glenaire,4
Glenaladale,4
Glenalbyn,3
Glenaroua,14
Glenburn,20
Glendaruel,1
Glengarry,42
Glengarry West,1
Glengower,1
Glenhope,6
Glenhope East,3
Glenlofty,1
Glenloth,1
Glenluce,1
Glenlyon,4
Glenmaggie,24
Glenmore,3
Glenorchy,1
Glenormiston North,1
Glenormiston South,4
Glenpatrick,1
Glenrowan,61
Glenroy,1865
Glenthompson,5
Gnarwarre,9
Gnotuk,2
Gobarup,6
Gobur,6
Golden Beach,23
Golden Gully,11
Golden Point,254
Golden Square,578
Goldie,2
Goldsborough,2
Gonn Crossing,3
Goomalibee,1
Goon Nure,3
Goongerah,3
Gooram,6
Gooramadda,1
Goorambat,2
Goornong,29
Gorae,5
Gorae West,15
Gordon,50
Gormandale,50
Goroke,6
Goschen,2
Goughs Bay,10
Goulburn Weir,8
Gowanbrae,129
Gowar East,2
Gower,1
Grahamvale,21
Grand Ridge,2
Grangefields,29
Granite Rock,3
Grantville,86
Granya,14
Graytown,6
Great Western,26
Green Gully,1
Greendale,9
Greenhill,1
Greens Creek,1
Greensborough,1366
Greenvale,541
Greenwald,2
Grenville,2
Greta South,1
Greta West,1
Gritjurk,2
Grovedale,665
Gruyere,12
Guildford,26
Gunbower,15
Guys Hill,7
Haddon,25
Hadfield,508
Hallam,980
Hallora,4
Halls Gap,26
Hallston,17
Hamilton,774
Hamlyn Heights,253
Hampton,539
Hampton East,412
Hampton Park,1380
Happy Valley,4
Harcourt,146
Harcourt North,10
Harkaway,23
Harkness,579
Harmers Haven,6
Harrietville,4
Harrow,7
Harston,5
Hastings,1512
Hattah,2
Havelock,1
Haven,42
Hawkesdale,5
Hawthorn,1390
Hawthorn East,557
Hazel Park,7
Hazelwood,12
Hazelwood North,47
Hazelwood South,2
Healesville,325
Heath Hill,5
Heathcote,209
Heathcote Junction,20
Heathcote South,1
Heatherton,145
Heathmere,19
Heathmont,532
Hedley,2
Heidelberg,1859
Heidelberg Heights,521
Heidelberg West,1175
Hepburn,2
Hepburn Springs,12
Herne Hill,156
Hernes Oak,27
Hesket,24
Hesse,5
Hexham,9
Heyfield,139
Heytesbury Lower,1
Heywood,115
Hiawatha,10
High Camp,15
Highett,770
Highlands,9
Highton,663
Hill End,11
Hillcrest,2
Hilldene,11
Hillside,560
Hmas Cerberus,14
