Narre Warren South,1058
Nathalia,114
Natimuk,6
Neerim South,55
Nerrina,38
Newcomb,553
Newhaven,48
Newington,107
Newlands Arm,15
Newport,851
Newstead,17
Newtown,549
Nhill,63
Nichols Point,40
Niddrie,229
Nilma,9
Noble Park,2480
Noble Park North,439
Noorat,8
Norlane,1697
North Bendigo,218
North Geelong,506
North Melbourne,1723
North Shore,93
North Warrandyte,23
Northcote,2013
Notting Hill,142
Numurkah,196
Nunawading,674
Nyah,20
Nyah West,46
Nyora,45
Oak Park,226
Oakleigh,947
Oakleigh East,339
Oakleigh South,464
Ocean Grove - Barwon Heads,536
Officer,344
Olinda,77
Omeo,15
Orbost,269
Ormond,261
Ouyen,67
Oxley,5
Pakenham,3437
Panton Hill,15
Park Orchards,84
Parkdale,414
Parkville,617
Pascoe Vale,973
Pascoe Vale South,425
Patterson Lakes,363
Paynesville,112
Pearcedale,115
Penshurst,19
Peterborough,8
Pioneer Bay,24
Plenty,103
Point Cook,1607
Point Lonsdale - Queenscliff,143
Poowong,15
Porepunkah,81
Port Albert,32
Port Campbell,24
Port Fairy,179
Port Melbourne,1762
Portarlington,200
Portsea,74
Prahran,2508
Preston,5319
Princes Hill,172
Pyalong,53
Pyramid Hill,19
Quambatook,19
Quarry Hill,96
Rainbow,25
Rawson,7
Raymond Island,10
Red Cliffs,297
Red Hill South,13
Redan,353
Research,41
Reservoir,4448
Rhyll,18
Richmond,3885
Riddells Creek,85
Ringwood,3082
Ringwood East,628
Ringwood North,203
Ripponlea,96
Robinvale,404
Rochester,181
Rockbank,76
Romsey,240
Rosanna,317
Rosebud,1570
Rosebud West,399
Rosedale,100
Rowville,1596
Roxburgh Park,1236
Rupanyup,13
Rushworth,123
Rutherglen,89
Rye,680
Safety Beach,185
Sailors Gully,15
Sale,2134
San Remo,80
Sandhurst,183
Sandringham,484
Sandy Point,6
Sassafras,22
Sawmill Settlement,4
Scoresby,424
Sea Lake,23
Seabrook,201
Seaford,2018
Seaholme,95
Sebastopol,956
Seddon,248
Selby,50
Seville East,7
Seymour,985
Shepparton - Mooroopna,6127
Shepparton East,36
Sherbrooke,13
Shoreham,13
Skye,345
Smiths Beach,27
Smythesdale,35
Snake Valley,22
Soldiers Hill,218
Somers,63
Somerville,707
Sorrento,186
South Kingsville,72
South Melbourne,2091
South Morang,1129
South Wharf,208
South Yarra,2143
Southbank,2672
Spotswood,286
Spring Gully,92
Springvale,1842
Springvale South,623
St Albans,3215
St Andrews,31
St Andrews Beach,55
St Arnaud,162
St Helena,67
St Kilda,4436
St Kilda East,532
St Kilda West,246
Stanhope,35
Stawell,608
Stratford,106
Strathdale,194
Strathfieldsaye,90
Strathmerton,37
Strathmore,391
Strathmore Heights,55
Sunbury,2451
Sunset Strip,13
Sunshine,3428
Sunshine North,1162
Sunshine West,1213
Surf Beach - Sunderland Bay,65
Surrey Hills,408
Swan Hill,1459
Sydenham,567
Talbot,26
Tallangatta,35
Tallarook,66
Tallygaroopna,7
Tangambalanga,12
Tarneit,1455
Tatura,212
Tawonga,12
Taylors Hill,626
Taylors Lakes,1299
Tecoma,76
Teesdale,13
Templestowe,416
Templestowe Lower,394
Terang,176
The Basin,148
The Patch,26
Thomastown,2197
Thomson,196
Thornbury,1362
Timboon,27
Tongala,105
Toolamba,28
Toongabbie,25
Toora,40
Tooradin,127
Toorak,812
Tootgarook,490
Torquay - Jan Juc,790
Trafalgar,638
Traralgon,3842
Traralgon East,72
Traralgon South,14
Travancore,118
Trentham,29
Truganina,821
Tullamarine,960
Tungamah,26
Tyabb,164
Tyers,30
Tylden,38
Tynong,27
Underbool,6
Upper Ferntree Gully,235
Upwey,259
Ventnor,45
Venus Bay,40
Vermont,338
Vermont South,327
Viewbank,174
Violet Town,31
Wahgunyah,29
Wallan,931
Wandana Heights,61
Wandiligong,7
Wandin North,95
Wandong - Heathcote Junction,89
Wangaratta,2261
Wantirna,589
Wantirna South,1441
Warburton,122
Warneet,22
Warracknabeal,126
Warragul,1279
Warrandyte,153
Warrandyte South,14
Warranwood,64
Warrnambool,2902
Waterford Park,5
Waterways,39
Watsonia,475
Watsonia North,76
Wattle Glen,38
Waurn Ponds,201
